Time	Exact_Real	VQTE_Real
0.885000	0.485493	0.485576
0.886000	0.485551	0.485634
0.887000	0.485609	0.485691
0.888000	0.485666	0.485748
0.889000	0.485724	0.485805
0.890000	0.485781	0.485862
0.891000	0.485837	0.485919
0.892000	0.485894	0.485975
0.893000	0.485950	0.486031
0.894000	0.486006	0.486087
0.895000	0.486062	0.486143
0.896000	0.486118	0.486198
0.897000	0.486173	0.486253
0.898000	0.486228	0.486308
0.899000	0.486283	0.486363
0.900000	0.486338	0.486418
0.901000	0.486393	0.486472
0.902000	0.486447	0.486526
0.903000	0.486501	0.486580
0.904000	0.486555	0.486634
0.905000	0.486609	0.486687
0.906000	0.486662	0.486740
0.907000	0.486715	0.486793
0.908000	0.486768	0.486846
0.909000	0.486821	0.486899
0.910000	0.486874	0.486951
0.911000	0.486926	0.487003
0.912000	0.486978	0.487055
0.913000	0.487030	0.487107
0.914000	0.487082	0.487159
0.915000	0.487134	0.487210
0.916000	0.487185	0.487261
0.917000	0.487236	0.487312
0.918000	0.487287	0.487363
0.919000	0.487338	0.487413
0.920000	0.487389	0.487464
0.921000	0.487439	0.487514
0.922000	0.487489	0.487564
0.923000	0.487539	0.487614
0.924000	0.487589	0.487663
0.925000	0.487638	0.487713
0.926000	0.487688	0.487762
